Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,123.375,125.21875,121.71875,123.03125,78.89166259765625,9450400
1999-01-05,122.9375,124.875,122.9375,124.4375,79.79336547851562,8031000
1999-01-06,125.8125,127.75,125.75,127.4375,81.71710205078125,7737700
1999-01-07,126.375,127.21875,125.78125,126.8125,81.3163070678711,5504900
1999-01-08,128.1875,128.5,125.96875,127.75,81.91746520996094,6224400
1999-01-11,127.6875,127.6875,125.21875,126.53125,81.13597106933594,7578300
1999-01-12,126.21875,126.21875,123.75,124.25,79.67315673828125,7768800
1999-01-13,120.40625,125.125,120.375,123.375,79.11206817626953,10810600
1999-01-14,123.625,123.90625,120.90625,121.21875,77.72937774658203,11400700
1999-01-15,122.375,124.78125,122.0625,124.375,79.7532958984375,7817700
1999-01-19,125.296875,125.625,123.5,125.1875,80.27429962158203,6535100
1999-01-20,126.09375,127.9375,125.03125,126.1875,80.91551971435547,6534400
1999-01-21,125.578125,125.84375,122.59375,122.84375,78.77143859863281,6937500
1999-01-22,122.125,123.84375,121.78125,122.5625,78.591064453125,7522300
1999-01-25,123.28125,124.0,121.90625,123.8125,79.39259338378906,5700300
1999-01-26,124.125,126.0625,123.625,126.0625,80.83538055419922,6047000
1999-01-27,126.375,126.625,124.15625,124.59375,79.89356994628906,7399400
1999-01-28,125.25,126.96875,125.1875,126.6875,81.23617553710938,5961700
1999-01-29,127.34375,128.296875,125.40625,127.65625,81.85733032226562,6456800
1999-02-01,128.6875,128.6875,126.90625,126.90625,81.37639617919922,9426800
1999-02-02,127.078125,127.21875,124.765625,126.125,80.87543487548828,9194500
1999-02-03,125.6875,127.9375,125.65625,127.40625,81.69702911376953,10290700
1999-02-04,127.375,127.5,124.78125,125.5,80.47467041015625,7761100
1999-02-05,125.65625,125.65625,123.21875,124.0625,79.55291748046875,7516100
1999-02-08,125.09375,125.09375,123.34375,124.3125,79.71326446533203,8528400
1999-02-09,124.375,124.5,121.515625,121.53125,77.92980194091797,8985700
1999-02-10,122.125,123.0,121.328125,122.3125,78.43072509765625,6936700
1999-02-11,123.0625,126.09375,122.5,125.125,80.2342300415039,9181800
1999-02-12,124.8125,125.5,122.625,123.625,79.27236938476562,10676600
1999-02-16,124.75,125.625,122.875,122.875,78.79141998291016,6915500
1999-02-17,123.1875,125.359375,122.25,122.75,78.71131896972656,7858100
1999-02-18,123.1875,124.375,122.21875,123.71875,79.33247375488281,9048900
1999-02-19,124.0,125.75,123.375,124.25,79.67315673828125,5312200
1999-02-22,124.4375,127.71875,124.28125,127.5625,81.79722595214844,10695800
1999-02-23,127.59375,128.5,126.59375,127.5,81.75714111328125,7770700
1999-02-24,127.84375,128.84375,125.0,125.25,80.31436920166016,7271000
1999-02-25,124.53125,125.28125,122.6875,124.0625,79.55291748046875,11633000
1999-02-26,124.75,124.84375,122.8125,123.5625,79.23229217529297,9621300
1999-03-01,123.65625,124.3125,122.375,123.90625,79.45277404785156,7607200
1999-03-02,124.5,125.3125,122.3125,122.8125,78.75135040283203,9651500
1999-03-03,123.09375,123.5625,121.78125,123.46875,79.17218780517578,7881400
